Police_Station	LongitudeY	LatitudeX
GIYANI	-23.31353	30.71573
GLEN	-28.93999	26.33199
GLEN GREY	-31.75751	27.0212
GLENCOE	-28.17932	30.15452
GLENDALE	-29.32763	31.11037
GLUCKSTADT	-27.97561	31.0321
GOEDEMOED	-30.55924	26.40335
GONUBIE	-32.9366	28.00084
GOODWOOD	-33.90888	18.56195
GORDONS BAY	-34.15908	18.86941
GOWAN LEA	-30.34742	29.70266
GRAAFF-REINET	-32.25286	24.53989
GRAAFWATER	-32.15174	18.60647
GRABOUW	-34.15381	19.01901
GRAHAMSTOWN	-33.31163	26.53445
GRASKOP	-24.93494	30.83923
GRASSY PARK	-34.04863	18.49523
GRAVELOTTE	-23.95146	30.61256
GREENWOOD PARK	-29.78553	31.02431
GREYLINGSTAD	-26.74201	28.76545
GREYTOWN	-29.05913	30.59429
GRIEKWASTAD	-28.84759	23.25104
GROBLERSDAL	-25.16553	29.3896
GROBLERSHOOP	-28.89311	21.98261
GROENVLEI	-27.4621	30.23121
GROOT BRAKRIVIER	-34.05469	22.21906
GROOT MARICO	-25.59968	26.41868
GROOT-DRAKENSTEIN	-33.86616	18.97776
GROOTVLEI	-26.79878	28.50955
GUGULETHU	-33.97497	18.56331
HAENERTSBURG	-23.94073	29.9405
HAMBURG	-33.28897	27.46711
HAMMANSKRAAL	-25.40479	28.27506
HAMMARSDALE	-29.7957	30.65611
HANKEY	-33.83223	24.88528
HANOVER	-31.06641	24.44393
HARARE	-34.05193	18.6693
HARBURG	-29.41241	30.7378
HARDING	-30.57499	29.88243
HARRISMITH	-28.26961	29.12786
HARTBEESFONTEIN	-26.75817	26.42618
HARTBEESPOORTDAM	-25.72447	27.87159
HARTEBEESKOP	-26.18032	30.93031
HARTSWATER	-27.75361	24.80519
HATTINGSPRUIT	-28.0792	30.124
HAZYVIEW	-25.04701	31.1283
HEALDTOWN	-32.74839	26.64999
HEBRON	-25.54938	28.01714
HEIDEDAL	-29.14242	26.25019
Heidelberg (Gp)	-26.49652	28.35413
